Date;Title;Tags;Likes;Comments
42918;Alle;#lineart #line #circle #black #dot #blackandwhite #minimal #art #minimalism;12;0
42919;Isso;#lineart #drawing #line #circle #dot #blackandwhite #minimal #art #minimalism #graphicdesign;23;1
42920;Note;#lineart #drawing #line #circle #dot #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #codeart;25;0
42921;Feet;#lineart #drawing #line #circle #dot #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #codeart;24;0
42922;Bala;#lineart #drawing #line #circle #black #dot #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #codeart. #balance inspired by #AlexanderCalder;29;3
42923;Flie;#lineart #drawing #line #circle #dot #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #codeart #simplicity #zen #symmetry;29;0
42924;Peda;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #codeart #simplicity #pedals #cycling;23;0
42925;Look;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #simplicity #eyes #excitement #sceptical;34;0
42926;Zoom;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #simple #graphicdesign #digitalgraphics #digitalart #simple #simplicity #lessismore #zoom #smallandbig #symmetry;18;0
42927;Inse;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #simple #simplicity #lessismore #insect #antennae #feelers #symmetry;11;0
42928;Leak;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #simple #simplicity #lessismore #leak #drop #motion;25;0
42929;Bele;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #simple #simplicity #lessismore #weights #grandfatherclock;24;1
42930;Ears;#lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #digitalart #simple #simplicity #lessismore #ears #elephant #elephanttrunk #animal #animals;7;0
42931;View;#eyes #lineart #minimalist #minimalism #art #circles #graphicdesign #simplicity #eyeineye #excitement #fear;15;0
42932;Snoe;#lineart #drawing #circle #geometric #minimal #art #minimalism #graphicdesign #digitalgraphics #simplicity #lessismore #snowman #frosty #winter #symmetry;31;1
42933;Hilo;#high #low #difference #lineart #drawing#circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #simplicity #lessismore;51;0
42934;Aten;#18 #number #lineart #drawing #circle #geometric #minimal #art #minimalism #minimalist #graphicdesign #digitalgraphics #simplicity #lessismore #sackkarre #sackbarrow;27;0
42935;Pila;#caterpillar #bug lineart #drawing #line #circle #geometric #blackandwhite #animal #art #minimalism #minimalist #graphicdesign #digitalgraphics #simple #lessismore #symmetry;18;0
42936;Rolo;#lineart #drawing #line#geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #blinds #Rollo #crosssection;27;0
42937;Cata;#catapult #tension #lineart #drawing #lines #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart;17;0
42938;Velo;#bike #bicycle #velo #fahrrad #lineart #drawing #graphicdesign #digitalart #minimalist #art #minimalism #blackandwhite #circle #graphic;21;0
42939;Tape;#musiccassette #music lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity;27;0
42940;Cake;#cake #candle #happybirthday #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart;17;0
42941;Fami;#family #ducksinarow #animal #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity #lessismore;28;0
42942;Copa;#compactor #walze #motion #lineart #drawing #line #cylinder #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity #lessismore #symmetry;24;1
42943;Read;#reading #glasses #eyes #literature #books #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity;12;0
42944;Fati;#wellfed #family #ducksinarow #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity;17;0
42945;Sole;#lineart #drawing #line #circle #black #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart;15;0
42946;City;#map #city #town #road #thoroughfare #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity;18;0
42947;Role;#black #white #motion #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart;21;0
42948;Ende;#ComingSoon #TheEnd #fin #motion #rollingout #lineart #drawing #line #circle #dot #geometric #blackandwhite #minimal #art #minimalism #graphicdesign #digitalgraphics #digitalart #simplicity;26;1
